best_seller,bracelet,ring,necklace,earring,choker,pendant,mesh,gold,silver,white,titanium,ip,rose,steel,mat_sum,pearl,topaz,amazonite,gemstones,spinel,onyx,gem_sum,diamonds,ruby,puregold,blend,logprice
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.3777589082278725
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.3777589082278725
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.3777589082278725
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.438383530044307
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.016157159698354
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,6.887552571664617
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.606650186198215
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,7.170119543449628
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,6.606650186198215
0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,6.672032945461067
0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1,6.856461984594587
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,6.184148890937483
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,6.672032945461067
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.184148890937483
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.184148890937483
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.184148890937483
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,1,6.476972362889683
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,5.666426688112432
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,6.476972362889683
0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5.783825182329737
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.327936783729195
0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6.327936783729195
